Line_name,Program_name,Group,Pedigree,Note,Family
2MS14_3341-028,2MS14_3341-028,Potential_Parent,09WA-39/06N2-31,,
2MS14_3341-029,2MS14_3341-029,Potential_Parent,09WA-39/06N2-31,,
2MS14_3342-001,2MS14_3342-001,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-002,2MS14_3342-002,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-003,2MS14_3342-003,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-004,2MS14_3342-004,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-007,2MS14_3342-007,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-008,2MS14_3342-008,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-009,2MS14_3342-009,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-010,2MS14_3342-010,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-012,2MS14_3342-012,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-013,2MS14_3342-013,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-014,2MS14_3342-014,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-015,2MS14_3342-015,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-017,2MS14_3342-017,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-018,2MS14_3342-018,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-019,2MS14_3342-019,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-020,2MS14_3342-020,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-022,2MS14_3342-022,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-024,2MS14_3342-024,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-025,2MS14_3342-025,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-026,2MS14_3342-026,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-027,2MS14_3342-027,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-028,2MS14_3342-028,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-029,2MS14_3342-029,Potential_Parent,09WA-39/07AB-51,,
2MS14_3342-030,2MS14_3342-030,Potential_Parent,09WA-39/07AB-51,,
2MS14_3343-002,2MS14_3343-002,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-004,2MS14_3343-004,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-007,2MS14_3343-007,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-009,2MS14_3343-009,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-011,2MS14_3343-011,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-013,2MS14_3343-013,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-015,2MS14_3343-015,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-016,2MS14_3343-016,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-020,2MS14_3343-020,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-022,2MS14_3343-022,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-024,2MS14_3343-024,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-025,2MS14_3343-025,Potential_Parent,07MT-10/08WA-02,,
2MS14_3343-030,2MS14_3343-030,Potential_Parent,07MT-10/08WA-02,,
2MS14_3344-001,2MS14_3344-001,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-002,2MS14_3344-002,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-003,2MS14_3344-003,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-008,2MS14_3344-008,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-010,2MS14_3344-010,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-011,2MS14_3344-011,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-013,2MS14_3344-013,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-014,2MS14_3344-014,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-015,2MS14_3344-015,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-016,2MS14_3344-016,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-018,2MS14_3344-018,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-019,2MS14_3344-019,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-020,2MS14_3344-020,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-022,2MS14_3344-022,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-024,2MS14_3344-024,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-026,2MS14_3344-026,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-028,2MS14_3344-028,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-029,2MS14_3344-029,Potential_Parent,07MT-10/09N2-29,,
2MS14_3344-030,2MS14_3344-030,Potential_Parent,07MT-10/09N2-29,,
2MS14_3345-001,2MS14_3345-001,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-003,2MS14_3345-003,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-004,2MS14_3345-004,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-007,2MS14_3345-007,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-008,2MS14_3345-008,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-009,2MS14_3345-009,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-011,2MS14_3345-011,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-012,2MS14_3345-012,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-013,2MS14_3345-013,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-016,2MS14_3345-016,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-018,2MS14_3345-018,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-019,2MS14_3345-019,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-020,2MS14_3345-020,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-023,2MS14_3345-023,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-024,2MS14_3345-024,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-026,2MS14_3345-026,Potential_Parent,06N2-31/07AB-51,,
2MS14_3345-030,2MS14_3345-030,Potential_Parent,06N2-31/07AB-51,,
2MS14_3346-001,2MS14_3346-001,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-003,2MS14_3346-003,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-004,2MS14_3346-004,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-005,2MS14_3346-005,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-006,2MS14_3346-006,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-007,2MS14_3346-007,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-009,2MS14_3346-009,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-010,2MS14_3346-010,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-011,2MS14_3346-011,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-013,2MS14_3346-013,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-015,2MS14_3346-015,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-017,2MS14_3346-017,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-018,2MS14_3346-018,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-019,2MS14_3346-019,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-022,2MS14_3346-022,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-024,2MS14_3346-024,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-025,2MS14_3346-025,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-027,2MS14_3346-027,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-028,2MS14_3346-028,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-029,2MS14_3346-029,Potential_Parent,09MT-92/07BA-94,,
2MS14_3346-030,2MS14_3346-030,Potential_Parent,09MT-92/07BA-94,,
2MS16_4129-001,2MS16_4129-001,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-002,2MS16_4129-002,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-003,2MS16_4129-003,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-004,2MS16_4129-004,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-005,2MS16_4129-005,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-006,2MS16_4129-006,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-007,2MS16_4129-007,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-008,2MS16_4129-008,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-009,2MS16_4129-009,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-010,2MS16_4129-010,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-011,2MS16_4129-011,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-012,2MS16_4129-012,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-013,2MS16_4129-013,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-014,2MS16_4129-014,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-015,2MS16_4129-015,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-016,2MS16_4129-016,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-017,2MS16_4129-017,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-018,2MS16_4129-018,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-019,2MS16_4129-019,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-020,2MS16_4129-020,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-021,2MS16_4129-021,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-022,2MS16_4129-022,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-023,2MS16_4129-023,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-024,2MS16_4129-024,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-025,2MS16_4129-025,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-026,2MS16_4129-026,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-027,2MS16_4129-027,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-028,2MS16_4129-028,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-029,2MS16_4129-029,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-030,2MS16_4129-030,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-031,2MS16_4129-031,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-032,2MS16_4129-032,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-033,2MS16_4129-033,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-034,2MS16_4129-034,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-035,2MS16_4129-035,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-036,2MS16_4129-036,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-037,2MS16_4129-037,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-038,2MS16_4129-038,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-039,2MS16_4129-039,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-040,2MS16_4129-040,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-041,2MS16_4129-041,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-042,2MS16_4129-042,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-043,2MS16_4129-043,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-044,2MS16_4129-044,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-045,2MS16_4129-045,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-046,2MS16_4129-046,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-047,2MS16_4129-047,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-048,2MS16_4129-048,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-049,2MS16_4129-049,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-050,2MS16_4129-050,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-051,2MS16_4129-051,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-052,2MS16_4129-052,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-053,2MS16_4129-053,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-054,2MS16_4129-054,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-055,2MS16_4129-055,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-056,2MS16_4129-056,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-057,2MS16_4129-057,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-058,2MS16_4129-058,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-059,2MS16_4129-059,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-060,2MS16_4129-060,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-061,2MS16_4129-061,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-062,2MS16_4129-062,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-063,2MS16_4129-063,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-064,2MS16_4129-064,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-065,2MS16_4129-065,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-066,2MS16_4129-066,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-067,2MS16_4129-067,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-068,2MS16_4129-068,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-069,2MS16_4129-069,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-070,2MS16_4129-070,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-071,2MS16_4129-071,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-072,2MS16_4129-072,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-073,2MS16_4129-073,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-074,2MS16_4129-074,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-075,2MS16_4129-075,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-076,2MS16_4129-076,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-077,2MS16_4129-077,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-078,2MS16_4129-078,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-079,2MS16_4129-079,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-080,2MS16_4129-080,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-081,2MS16_4129-081,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-082,2MS16_4129-082,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-083,2MS16_4129-083,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-084,2MS16_4129-084,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-085,2MS16_4129-085,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-086,2MS16_4129-086,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-087,2MS16_4129-087,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-088,2MS16_4129-088,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-089,2MS16_4129-089,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-090,2MS16_4129-090,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-091,2MS16_4129-091,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-092,2MS16_4129-092,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-093,2MS16_4129-093,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-094,2MS16_4129-094,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-095,2MS16_4129-095,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-096,2MS16_4129-096,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-097,2MS16_4129-097,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-098,2MS16_4129-098,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-099,2MS16_4129-099,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-100,2MS16_4129-100,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-101,2MS16_4129-101,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-102,2MS16_4129-102,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-103,2MS16_4129-103,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-104,2MS16_4129-104,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-105,2MS16_4129-105,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-106,2MS16_4129-106,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-107,2MS16_4129-107,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-108,2MS16_4129-108,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-109,2MS16_4129-109,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-110,2MS16_4129-110,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-111,2MS16_4129-111,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-112,2MS16_4129-112,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-113,2MS16_4129-113,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-114,2MS16_4129-114,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-115,2MS16_4129-115,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-116,2MS16_4129-116,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-117,2MS16_4129-117,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4129-118,2MS16_4129-118,Experimental,2MS14_3301-008/2MS14_3335-018,HD_FHB_zero_correlation,129
2MS16_4130-001,2MS16_4130-001,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-002,2MS16_4130-002,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-003,2MS16_4130-003,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-004,2MS16_4130-004,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-005,2MS16_4130-005,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-006,2MS16_4130-006,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-007,2MS16_4130-007,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-008,2MS16_4130-008,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-009,2MS16_4130-009,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-010,2MS16_4130-010,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-011,2MS16_4130-011,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-012,2MS16_4130-012,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-013,2MS16_4130-013,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-014,2MS16_4130-014,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-015,2MS16_4130-015,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-016,2MS16_4130-016,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-017,2MS16_4130-017,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-018,2MS16_4130-018,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-019,2MS16_4130-019,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-020,2MS16_4130-020,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-021,2MS16_4130-021,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-022,2MS16_4130-022,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-023,2MS16_4130-023,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-024,2MS16_4130-024,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-025,2MS16_4130-025,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-026,2MS16_4130-026,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-027,2MS16_4130-027,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-028,2MS16_4130-028,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-029,2MS16_4130-029,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-030,2MS16_4130-030,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-031,2MS16_4130-031,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-032,2MS16_4130-032,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-033,2MS16_4130-033,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-034,2MS16_4130-034,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-035,2MS16_4130-035,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-036,2MS16_4130-036,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-037,2MS16_4130-037,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-038,2MS16_4130-038,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-039,2MS16_4130-039,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-040,2MS16_4130-040,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-041,2MS16_4130-041,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-042,2MS16_4130-042,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-043,2MS16_4130-043,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-044,2MS16_4130-044,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
2MS16_4130-045,2MS16_4130-045,Experimental,2MS14_3301-009/2MS14_3312-009,HD_FHB_zero_correlation,130
